1LMB	4
1LST	
1LUC	B
1M6P	A
1MBA	
1MCT	I
1MDC	
1MFI	A
1MFM	
1MGT	
1MJH	B
1MLA	
1MML	
1MOF	
1MOL	A
1MOQ	
1MPG	B
1MRJ	
1MRO	BC
1MSI	
1MSK	
1MUG	
1MUN	
1NAR	
1NBC	A
1NDD	B
1NFN	
1NIF	
1NKD	
1NKR	
1NLS	
1NOT	
1NOX	
1NPK	
1NUL	B
1NWP	A
1NZY	B
1OAA	
1ONC	
1OPD	
1ORC	
1OSA	
1PCF	A
1PDA	
1PDO	
1PEF	
1PEN	
1PGS	
1PHN	A
1PLC	
1PMI	
1POA	
1PSR	A
1PTF	
1PYM	A
1QAU	
1QB7	
1QCX	
1QCZ	
1QD1	B
1QDD	
1QE3	
1QF9	
1QFM	
1QFT	A
1QGI	
1QGQ	
1QGW	BD
1QH4	A
1QH5	A
1QH8	AB
1QHF	A
1QHV	
1QIP	B
1QJ4	
1QJD	
1QK5	A
1QKS	A
1QL0	A
1QLW	A
1QNF	
1QNJ	
1QQ4	
1QQ5	A
1QQQ	
1QRE	
1QRR	
1QS1	A
1QSA	
1QSG	G
1QTS	
1QTW	
1QU9	A
1QUP	A
1QUS	
1RA9	
1RB9	
1RCF	
1RGE	A
1RHS	
1RIE	
1RZL	
1SBP	
1SLU	
1SMD	
1SML	
1STN	
1SVF	AB
1SVY	
1SWU	B
1T1D	
1TAX	
1TC1	B
1TCA	
1TEN	
1TFE	
1TGS	I
1TGX	A
1THV	
1TIF	
1TML	
1TOA	A
1TPH	1
1TTB	A
1TUD	
1TX4	A
1TYV	
1UAE	
1UBP	
1UCH	
1UGI	D
1URO	
1USH	
1UTE	
1UXY	
1VCA	A
1VCC	
1VFR	A
1VFY	
1VHH	
1VIE	
1VJS	
1VNS	
1VSR	
1WAB	
1WAP	B
1WHI	
1XIK	A
1XJO	
1XNB	
1XWL	
1YAC	B
1YGE	
1YTB	A
1YVE	I
1ZIN	
256B	A
2A0B	
2ACT	
2ACY	
2AHJ	DC
2ARC	B
2AYH	
2BAA	
2BBK	LH
2BC2	A
2BOP	A
2CBA	
2CBP	
2CPG	A
2CPL	
2CPP	
2CTC	
2CUA	A
2CYP	
2DPM	
2DRI	
2END	
2ENG	
2ERL	
2FDN	
2GAR	
2HBG	
2HFT	
2HMZ	A
2IGD	
2ILK	
2KNT	
2LIS	
2MCM	
2MHR	
2MSB	A
2MYR	
2NAC	A
2NLR	
2POR	
2PTH	
2PVB	
2QWC	
2RN2	
2SAK	
2SN3	
2SPC	A
2TGI	
2TNF	A
2TPS	A
2TRX	A
3BTO	A
3CHB	D
3CHY	
3CLA	
3CYR	
3EBX	
3EIP	A
3EZM	
3GRS	
3HTS	B
3NUL	
3PRO	C
3PTE	
3PVI	A
3PYP	
3SDH	A
3SEB	
3SIL	
3STD	A
3VUB	
451C	
4EUG	
4LZT	
4PGA	A
4XIS	
5CYT	
5HPG	A
5ICB	
5NUL	
5P21	
6CEL	
6GSV	B
7A3H	
7ATJ	
7FD1	
7ODC	
7RSA	
8ABP	
8RUC	AI
9WGA	A
